name,type,address,email,phone_number,website
University of Washington,Company,"0100 Scott Expressway Suite 830
Port Melanie, UT 59893",arnoldmeghan@example.com,001-363-793-7262x24257,http://www.calderon-christian.com/
Yale University,Company,"56717 Elizabeth Meadow Suite 636
Trujillochester, MA 96327",penningtonvanessa@example.com,240-763-7773x22499,http://floyd-savage.com/
University of Pennsylvania,Company,"190 Cox Coves
South Heidimouth, NH 57471",wilsonjoseph@example.com,868.627.2354,http://www.harris.com/
"University of California, San Diego",Company,"42672 Riddle Garden Suite 024
North Rebekahview, LA 97358",jeannecole@example.com,(910)316-6657x6246,http://www.parks.org/
FHNW University of Applied Sciences and Arts Northwestern Switzerland,Company,"24866 Amanda Skyway
West Theresa, LA 99098",amybell@example.net,+1-408-807-7908,https://reed.biz/
University of Cambridge,Company,"34406 Alexander Drive
New Anne, MD 68372",cbarker@example.com,(355)615-3935x56622,http://ayers-hawkins.com/
Massachusetts Institute of Technology,University,"444 Tara Mills Suite 135
Norrisborough, MS 75624",kaylagentry@example.net,974.576.2323x50310,http://rodriguez.org/
Columbia University,University,"USS Duran
FPO AP 37809",toddhurley@example.org,4909147267,https://bird.com/
Harvard University,University,"0499 Ann Station Apt. 118
Rebeccaville, CO 54221",salazarnicholas@example.com,5886652877,https://johnson-allen.com/
University of Oxford,Company,"051 Smith River
East Lisafort, WV 98889",williamsnicole@example.net,944.372.8262,http://price.com/
University of Chicago,Company,"7948 Juan Mountains
West Carolyn, AL 72123",johnsonerika@example.com,907-619-0621,https://www.obrien-macias.biz/
University of Michigan,University,"04713 Sims Ridge Apt. 624
Pattonstad, NV 38743",wandarivera@example.org,+1-465-319-3482x449,https://collins.org/
California Institute of Technology,University,"493 Vazquez Mountain Suite 610
Phillipsburgh, KS 57389",hernandezcharles@example.net,(284)630-6391,https://garrett.com/
Stanford University,Company,"6928 Gonzalez Gardens
Cantumouth, PR 36056",seanhenry@example.net,702.565.2392,http://www.sutton.com/
"University of California, Berkeley",University,"4665 Livingston Ferry
Rodriguezshire, MA 86687",orozcofrancisco@example.com,(398)724-6222,http://black-white.com/
"University of California, Los Angeles",Company,"70058 Lynch Mountains
West Williemouth, ND 99641",vberg@example.org,711.334.1286,http://prince-gardner.biz/
Princeton University,University,"213 Ruiz Divide
Robertborough, NE 66221",staffordkathryn@example.org,8203893761,http://lara.com/
